        1024,  8.21,  7.42
        2048,  8.46,  7.70
        4096,  7.98,  7.78
        8192,  7.88,  7.65
       16384,  7.87,  7.44
       32768,  6.34,  7.46
       65536,  5.98,  7.46
      131072,  6.33,  7.57
      262144,  5.86,  7.60
      524288,  5.97,  7.57
     1048576,  3.30,  7.11
     2097152,  3.09,  3.82
     4194304,  3.12,  4.52
     8388608,  2.86,  4.63
