NMB, LOCAL_SIZE, NUM_WORK_GROUPS, GigaMultsPerSecond
       1,   8,    131072,     1.568
       2,   8,    262144,     1.990
       4,   8,    524288,     2.289
       8,   8,   1048576,     2.563
       1,  16,     65536,     2.297
       2,  16,    131072,     3.200
       4,  16,    262144,     4.066
       8,  16,    524288,     4.357
       1,  32,     32768,     3.001
       2,  32,     65536,     3.759
       4,  32,    131072,     6.191
       8,  32,    262144,     7.277
       1,  64,     16384,     2.727
       2,  64,     32768,     4.485
       4,  64,     65536,     6.416
       8,  64,    131072,     8.951
       1, 128,      8192,     2.571
       2, 128,     16384,     4.394
       4, 128,     32768,     7.363
       8, 128,     65536,     9.442
       1, 256,      4096,     2.926
       2, 256,      8192,     4.599
       4, 256,     16384,     6.869
       8, 256,     32768,    10.013
       1, 512,      2048,     3.044
       2, 512,      4096,     4.312
       4, 512,      8192,     7.424
       8, 512,     16384,    10.055
