      1024,        8,    29.4118,  21.58%
      1024,       32,    31.2500,  20.31%
      1024,      128,    31.2500,  21.68%
      4096,        8,   121.2121,  23.19%
      4096,       32,   117.6471,  23.41%
      4096,      128,   121.2121,  21.75%
     16384,        8,   432.4324,  22.49%
     16384,       32,   484.8485,  22.22%
     16384,      128,   484.8485,  22.16%
     65536,        8,  1316.1954,  22.54%
     65536,       32,  1696.7689,  22.60%
     65536,      128,  1822.0641,  22.34%
    262144,        8,  2848.4005,  22.54%
    262144,       32,  5309.1381,  22.49%
    262144,      128,  5970.8456,  22.66%
   1048576,        8,  4092.9303,  22.47%
   1048576,       32, 10597.6713,  22.52%
   1048576,      128, 12473.5441,  22.40%
   2097152,        8,  4386.9068,  22.56%
   2097152,       32, 12533.1803,  22.50%
   2097152,      128, 16987.0397,  22.52%
   4194304,        8,  4591.1239,  22.54%
   4194304,       32, 14782.0003,  22.55%
   4194304,      128, 20143.2305,  22.50%
