      1024,        8,    10.3159,  21.48%
      1024,       32,    10.5021,  24.12%
      1024,      128,    10.1878,  20.80%
      4096,        8,    35.8946,  21.39%
      4096,       32,    33.0408,  22.71%
      4096,      128,    39.7022,  22.58%
     16384,        8,   134.4891,  22.65%
     16384,       32,   140.9304,  22.31%
     16384,      128,   150.5882,  22.69%
     65536,        8,   416.9381,  22.64%
     65536,       32,   417.7887,  22.75%
     65536,      128,   493.4940,  22.66%
    262144,        8,   697.3102,  22.35%
    262144,       32,  1242.5299,  22.62%
    262144,      128,  2112.9740,  22.52%
   1048576,        8,   952.0599,  22.51%
   1048576,       32,  2784.2636,  22.44%
   1048576,      128,  4129.5528,  22.58%
   2097152,        8,  1054.1588,  22.48%
   2097152,       32,  3351.7107,  22.47%
   2097152,      128,  5073.6240,  22.53%
   4194304,        8,  1095.8556,  22.48%
   4194304,       32,  3734.0324,  22.51%
   4194304,      128,  6124.0014,  22.48%
