 1,       1,   nan,  0.50
 1,       4,  0.00,  1.03
 1,      16,  6.85,  1.91
 1,      64,  7.60,  1.89
 1,     256,  7.72,  1.85
 1,    1024,  7.75,  1.94
 1,    4096,  7.76,  2.65
 1,   16384,  7.76,  3.38
 1,   65536,  7.76,  4.68
 1,  262144,  7.76,  4.68
 1, 1048576,  7.76,  4.69
 1, 4194304,  7.78,  4.70
 1,16777216,  7.55,  4.71
 2,       1,   nan,  0.22
 2,       4,  0.00,  1.21
 2,      16,  6.85,  2.38
 2,      64,  7.60,  3.28
 2,     256,  7.72,  3.10
 2,    1024,  7.75,  4.14
 2,    4096,  7.76,  4.10
 2,   16384,  7.76,  5.56
 2,   65536,  7.76,  9.38
 2,  262144,  7.76,  9.35
 2, 1048576,  7.76,  9.36
 2, 4194304,  7.76,  9.38
 2,16777216,  7.62,  9.38
 4,       1,   nan,  0.21
 4,       4,  0.00,  0.91
 4,      16,  6.85,  2.51
 4,      64,  7.60,  5.30
 4,     256,  7.72,  6.55
 4,    1024,  7.75,  7.46
 4,    4096,  7.76,  7.59
 4,   16384,  7.76,  9.34
 4,   65536,  7.76, 13.74
 4,  262144,  7.76, 18.34
 4, 1048576,  7.76, 18.49
 4, 4194304,  7.76, 18.14
 4,16777216,  7.75, 18.21
 8,       1,   nan,  0.13
 8,       4,  0.00,  0.53
 8,      16,  6.85,  2.40
 8,      64,  7.60,  5.74
 8,     256,  7.72, 10.66
 8,    1024,  7.75, 12.98
 8,    4096,  7.76, 13.85
 8,   16384,  7.76, 16.32
 8,   65536,  7.76, 21.10
 8,  262144,  7.76, 32.67
 8, 1048576,  7.76, 33.65
 8, 4194304,  7.76, 27.76
 8,16777216,  7.76, 31.93
12,       1,   nan,  0.10
12,       4,  0.00,  0.40
12,      16,  6.85,  1.32
12,      64,  7.60,  4.64
12,     256,  7.72, 11.82
12,    1024,  7.75, 17.96
12,    4096,  7.76, 19.97
12,   16384,  7.76, 20.77
12,   65536,  7.76, 27.39
12,  262144,  7.76, 45.11
12, 1048576,  7.76, 44.71
12, 4194304,  7.76, 44.92
12,16777216,  7.76, 43.30
16,       1,   nan,  0.08
16,       4,  0.00,  0.30
16,      16,  6.85,  1.20
16,      64,  7.60,  3.90
16,     256,  7.72, 11.34
16,    1024,  7.75, 19.83
16,    4096,  7.76, 23.73
16,   16384,  7.76, 24.56
16,   65536,  7.76, 34.73
16,  262144,  7.76, 49.58
16, 1048576,  7.76, 59.54
16, 4194304,  7.76, 39.63
16,16777216,  7.76, 53.86
20,       1,   nan,  0.08
20,       4,  0.00,  0.31
20,      16,  6.85,  1.20
20,      64,  7.60,  4.19
20,     256,  7.72, 12.95
20,    1024,  7.75, 23.16
20,    4096,  7.76, 28.96
20,   16384,  7.76, 30.27
20,   65536,  7.76, 38.08
20,  262144,  7.76, 55.20
20, 1048576,  7.76, 62.71
20, 4194304,  7.76, 63.40
20,16777216,  7.76, 63.15
24,       1,   nan,  0.07
24,       4,  0.00,  0.25
24,      16,  6.85,  0.86
24,      64,  7.60,  3.37
24,     256,  7.72, 12.35
24,    1024,  7.75, 25.31
24,    4096,  7.76, 33.95
24,   16384,  7.76, 36.75
24,   65536,  7.76, 44.35
24,  262144,  7.76, 58.27
24, 1048576,  7.76, 73.61
24, 4194304,  7.76, 74.69
24,16777216,  7.76, 75.97
32,       1,   nan,  0.07
32,       4,  0.00,  0.00
32,      16,  6.85,  1.06
32,      64,  7.60,  0.01
32,     256,  7.72,  0.07
32,    1024,  7.75, 29.24
32,    4096,  7.76, 44.23
32,   16384,  7.76, 50.72
32,   65536,  7.76, 59.22
32,  262144,  7.76, 77.46
32, 1048576,  7.76, 98.08
32, 4194304,  7.76, 98.61
32,16777216,  7.76, 99.04
