1,-0.73,24.77,17.17,2,2
2,11.42,24.56,15.28,3,2
3,15.61,33.87,6.96,4,2
4,17.63,37.58,0.00,3,1
5,25.32,26.87,0.00,2,0
6,23.52,22.32,0.00,1,0
7,23.44,12.16,0.00,0,0
8,23.90,4.75,0.00,0,0
9,21.60,1.53,0.00,0,0
10,10.00,7.78,4.62,0,0
11,11.69,3.46,6.38,1,0
0,8.40,11.34,12.84,2,0
1,9.96,26.28,15.33,3,1
2,6.19,33.42,23.86,4,2
3,17.45,36.16,12.76,5,3
4,23.01,36.19,0.00,5,2
5,23.92,33.36,0.00,4,1
6,21.39,17.44,0.00,3,0
7,30.66,13.93,0.00,2,0
8,24.51,3.30,0.00,1,0
9,22.91,3.76,0.00,0,0
10,14.12,4.27,0.49,0,0
11,9.14,11.91,7.99,0,0
0,6.17,11.48,21.65,1,1
1,7.58,24.24,33.34,2,2
2,12.88,32.62,29.12,3,3
3,15.61,33.12,20.30,4,3
4,18.21,34.32,8.66,5,2
5,22.81,33.10,0.00,4,1
6,25.00,18.94,0.00,3,0
7,31.61,13.64,0.00,2,0
8,20.66,2.69,0.00,1,0
9,16.54,4.03,0.00,0,0
10,11.87,7.84,2.11,0,0
11,5.86,7.01,13.39,0,0
0,3.75,13.97,29.73,1,1
1,-0.62,23.51,35.49,2,2
2,9.76,29.98,37.26,3,3
3,13.52,32.18,29.43,4,4
4,19.58,32.10,17.25,5,3
5,25.57,26.36,3.02,6,2
6,27.49,26.09,0.00,5,1
7,25.64,17.60,0.00,4,0
8,23.76,10.68,0.00,3,0
9,18.29,0.00,0.00,2,0
10,10.58,6.05,0.00,1,0
11,13.12,6.07,0.00,0,0
0,6.97,10.74,11.84,0,0
1,7.22,20.93,27.20,1,1
2,6.53,28.63,41.51,2,2
3,16.99,33.03,35.53,3,3
4,15.52,32.92,26.73,4,4
5,20.44,31.43,14.55,5,3
6,29.11,23.95,0.32,5,2
7,29.11,9.83,0.00,4,1
8,26.29,8.46,0.00,3,0
9,21.05,2.67,0.00,2,0
10,11.47,3.34,0.00,1,0
11,7.09,9.77,8.55,0,0
0,0.60,18.55,20.25,1,1
1,0.09,22.42,28.04,2,2
2,4.68,28.90,41.85,3,3
3,11.36,34.64,36.48,4,4
4,15.72,35.14,24.58,5,4
5,24.14,30.62,9.84,6,3
6,30.95,25.88,0.00,5,2
7,30.23,9.80,0.00,4,1
8,28.90,3.27,0.00,3,0
9,16.29,3.26,0.00,2,0
10,14.52,2.60,0.00,1,0
11,5.96,9.18,10.01,0,0
0,8.81,9.75,17.51,1,1
